1607274,1900000,1651619,11226
1693269,2118500,1793427,13627
1806482,2500000,1968023,14809
1905072,2700000,2109204,13814
1996701,2916810,2135496,15065
2112685,3165031,2305275,18099
2213081,3165031,2435106,17037
2421288,3166460,2492189,16772
1269779,3413666,2574473,17585
2689333,3460672,2651745,18971
1428750,1625000,1552176,10618
1578698,1811875,1705780,11646
1667777,1961354,1814202,13396
1771231,2132189,1987828,13257
1906565,2303403,2102297,14061
2010106,2499423,2218291,15949
2118194,2499423,2250283,15486
2296415,2522610,2393973,15131
1200282,2710493,2563192,17609
2567058,2809915,2626347,17902
1590605,1615000,1855586,11241
1735507,1800725,2034316,13206
1828614,1949284,2169157,14378
1930378,2119067,2344036,14431
2071770,2289220,2353669,15210
2185601,2484041,2494725,17571
2295644,2484041,2570365,16630
2528599,2512539,2692786,15887
1335224,2742476,2823065,16694
2843755,2811449,2953567,18152
1635009,1878000,2079194,13303
1725625,2095000,2245754,15506
1845823,2266722,2304467,15182
1940913,2464154,2440696,15613
2062066,2662026,2546609,16270
2198484,2888564,2782509,18411
2325529,2888564,2765123,19144
2535087,2938564,2935240,18626
1330945,3191662,3144741,18413
2829503,3294625,3204833,20096
1476662,1710000,1782931,12954
1579087,1906650,1943794,13169
1649606,2063000,2091793,14326
1780421,2243719,2222545,14007
1893105,2423889,2266613,14304
2009787,2630162,2382450,15840
2131690,2788826,2486682,16043
2365341,2698941,2647924,16042
1251843,2943033,2988093,17596
2717174,3037121,3083169,17625
1369650,1974346,1552816,11622
1459663,2206000,1785299,12523
1531900,2388000,1953659,12690
1632611,2595995,2036358,13214
1703620,2804453,1992882,13580
1786370,3043111,2124974,15072
1865190,3043111,2267135,15873
2025401,3144446,2381349,15978
1056790,3404177,2514335,16273
2268514,3456874,2667420,17191
1599481,1500000,1720789,12491
1726185,1605000,1951623,13471
1856475,1737412,2124815,14011
1987043,1888741,2372394,14353
2088832,2040407,2357768,14511
2165640,2213604,2457627,17407
2301661,2460996,2442282,18271
2499984,2238094,2536863,16501
1308043,2418280,2823697,17410
2762628,2507079,3032944,18742
1429938,1581000,1640006,10104
1503336,1763000,1737461,10385
1596242,1908447,1871417,11234
1675465,2074673,1993045,11779
1756356,2241270,2003044,12575
1876000,2432002,2090348,14912
1975265,2432001,2213139,15224
2172241,2440486,2276152,13218
1145189,2633284,2549603,13958
2428726,2716497,2521377,15518
2036577,2100000,2239229,12660
2196034,2341500,2420148,14257
2392313,2538673,2701042,14822
2589487,2755444,2810828,15818
2787377,2976706,2977946,17373
2896514,3230024,2965484,15763
3051262,3000804,3019077,17692
3314799,3264884,3266705,18132
1752681,3498479,3406622,20141
3663870,3640000,3520082,20231
1817214,1954000,2320010,18863
1949074,2178710,2523034,21019
2056917,2358454,2668789,19832
2206878,2563875,2741997,23212
2336611,2769754,2962320,22912
2429352,3005460,2986749,25032
2541664,3005460,3075686,25736
2777533,3050172,3100977,23528
1455426,3279194,3365475,27640
3118135,3402492,3587966,27775
990426,2700000,1773431,17012
1031049,3100000,1876648,23181
1114793,3355750,1997446,23826
1200886,3648036,2039157,25238
1300615,3940973,2156112,25236
1363740,4276350,2257991,28420
1412690,1765000,2336429,30662
1512325,4641854,2525347,32685
792515,4901798,2791716,42354
1671373,5067381,2794485,39852
1250630,1000000,1668685,11247
1313336,2250000,1808065,14791
1394802,1420624,2025790,16202
1472896,1544361,2220296,16843
1559102,1668373,2289473,17365
1645034,1810351,2408440,19078
1722272,2630162,2483849,19716
1862712,1841487,2596432,19038
987214,1986670,2832348,21194
2108432,2057495,2959055,22424
1214333,910000,1409948,8525
1279745,910000,1529199,9965
1343544,1367000,1657559,10569
1416278,1486065,1870958,11417
1502234,1605396,1906387,11828
1587234,1742015,2029849,12707
1664127,1810351,2087548,13072
1806601,1812935,2229991,12604
954514,1958169,2402676,13381
2054253,2036947,2520287,14366
1343892,988500,1705353,10440
