sum total gk,ump,sum total peng,rr upah
2018488,2860382,3130148,17105
2141653,3103800,3235940,19172
2277296,3165876,3361358,19217
2474223,3165876,3468230,17257
1596009,1652000,2158698,13661
1692501,1850000,2586431,23444
1767555,2002625,2710036,16604
1866158,2177052,3017719,15944
2028242,2351870,3165307,15849
2185017,2552015,3211820,20449
2333517,2552014,3349510,19302
2524641,2710596,3461537,17542
1615492,1600000,2131155,10030
1712854,1875000,2433940,13088
1815269,2030000,2826923,12784
1924849,2206813,2793420,11891
2058790,2384020,3081683,13492
2231496,2788826,3279194,15128
2368925,4416186,3492052,14613
2539055,2800580,3492100,14289
1608149,1655500,1937658,14171
1718778,1864000,2178146,11730
1852309,2017780,2324874,12741
1932986,2193530,2628994,12144
2005393,2381000,2718698,13126
2117541,2678863,2882976,18136
2247433,2678863,2859366,18072
2497519,2678863,3124417,14774
2414865,1650000,2457148,14525
2515601,1775000,2622767,16153
2666626,1925000,2786695,16275
2797516,2222220,2994860,14923
3162708,2400664,3072803,17306
3389752,2604961,3315326,26198
3584509,2604961,3409954,21156
3915164,2619313,3586170,17006
2140043,1577617,2485764,13607
2309943,1681266,2602096,15226
2387244,1975000,3025438,15760
2537236,2320803,3291631,15864
2721485,2508091,3346256,17425
2827362,2721530,3539648,23338
3017938,2721530,3620903,21131
3210172,2862231,3567892,18278
2730067,2015000,3184634,17313
2911865,2237000,3138619,18314
3036519,2421500,3479972,19911
3241726,2667000,3818730,21727
3507043,2934500,4170667,22987
3691128,3134600,4250397,27904
3865494,3134600,4414048,29600
4139731,3200000,4404010,24128
2474711,2193000,2858292,19290
2651730,2435000,3117226,22961
2816650,2663646,3563105,25657
3109334,3000000,3671789,25987
3347742,3240900,3922058,24984
3482023,3516700,4169427,32138
3626195,3516700,4313999,30382
3953025,3561932,4616653,24097
