provinsi,tahun,sum total gk,ump,sum total peng,rr upah
JAWA TENGAH,2022,2710313,1812935,3351783,12604
DI YOGYAKARTA,2015,2027499,988500,2633955,10440
DI YOGYAKARTA,2016,2118087,988500,3030583,12070
DI YOGYAKARTA,2017,2270140,1337645,3199142,12281
DI YOGYAKARTA,2018,2419103,1454154,3616547,12554
DI YOGYAKARTA,2019,2578426,1570923,3714420,13275
DI YOGYAKARTA,2020,2711750,1704608,3904380,15771
DI YOGYAKARTA,2021,2856772,2215000,3919984,15098
DI YOGYAKARTA,2022,3127100,1840916,4092320,14916
JAWA TIMUR,2015,1864719,1000000,2506927,9214
JAWA TIMUR,2016,1952462,1000000,2619184,11226
JAWA TIMUR,2017,2106676,1338000,2808186,11883
JAWA TIMUR,2018,2272953,1508895,2997710,12561
JAWA TIMUR,2019,2402562,1630059,3079703,13119
JAWA TIMUR,2020,2499705,1768777,3164457,14389
JAWA TIMUR,2021,2618308,1798979,3300513,14789
JAWA TIMUR,2022,2841458,1891567,3454099,15119
BANTEN,2015,2058535,1600000,2900212,14228
BANTEN,2016,2200742,1784000,3182179,21033
BANTEN,2017,2348112,1931180,3493281,19719
BANTEN,2018,2594540,2099385,3863867,20565
BANTEN,2019,2785571,2267990,3999910,21003
BANTEN,2020,3018284,2460997,4269611,23035
BANTEN,2021,3176695,3230023,4258530,24839
BANTEN,2022,3440678,2501203,4547380,23880
BALI,2015,1945638,1621172,3055194,11038
BALI,2016,2042056,1807600,3209664,14852
BALI,2017,2163352,1956727,3831830,15624
BALI,2018,2302166,2127157,3928383,15889
BALI,2019,2417281,2297969,3979930,16408
BALI,2020,2571312,2494000,4298953,17775
BALI,2021,2702863,2494000,4179123,17662
BALI,2022,2956179,2516971,4109699,16857
NUSA TENGGARA BARAT,2015,1917870,1330000,2028755,9187
NUSA TENGGARA BARAT,2016,2016160,1482950,2308554,9940
NUSA TENGGARA BARAT,2017,2097698,1631245,2488017,10962
NUSA TENGGARA BARAT,2018,2221207,1825000,2769910,11359
NUSA TENGGARA BARAT,2019,2333661,2012610,3094995,11954
NUSA TENGGARA BARAT,2020,2440319,2183883,3276942,13627
NUSA TENGGARA BARAT,2021,2595549,2183883,3594128,12992
NUSA TENGGARA BARAT,2022,2848587,2207212,3478939,11734
NUSA TENGGARA TIMUR,2015,1915747,1250000,1856694,11436
NUSA TENGGARA TIMUR,2016,2042767,1425000,2009695,12868
NUSA TENGGARA TIMUR,2017,2161944,1525000,2342228,12281
NUSA TENGGARA TIMUR,2018,2234234,1660000,2407324,12318
NUSA TENGGARA TIMUR,2019,2379318,1795000,2529571,12610
NUSA TENGGARA TIMUR,2020,2551754,1950000,2694412,17696
NUSA TENGGARA TIMUR,2021,2687240,1950000,2804696,16386
NUSA TENGGARA TIMUR,2022,2989111,1975000,2899044,13012
KALIMANTAN BARAT,2015,2002199,1560000,2470206,12671
KALIMANTAN BARAT,2016,2136947,1739400,2720275,13580
KALIMANTAN BARAT,2017,2324770,1882900,2952944,14734
KALIMANTAN BARAT,2018,2503870,2046900,3255209,14614
KALIMANTAN BARAT,2019,2695437,2211500,3390799,15309
KALIMANTAN BARAT,2020,2864751,2399699,3522130,16098
KALIMANTAN BARAT,2021,2996402,1868777,3616224,16127
KALIMANTAN BARAT,2022,3252650,2434328,3833316,16337
KALIMANTAN TENGAH,2015,2115976,1896367,2826909,14218
KALIMANTAN TENGAH,2016,2239231,2057558,3217758,16515
KALIMANTAN TENGAH,2017,2392765,2227307,3495372,16737
KALIMANTAN TENGAH,2018,2498953,2421305,3743854,17489
KALIMANTAN TENGAH,2019,2671478,2663435,3920264,18090
KALIMANTAN TENGAH,2020,2920372,2903145,4069218,20677
KALIMANTAN TENGAH,2021,3075445,2877448,4236114,21040
KALIMANTAN TENGAH,2022,3384570,2922516,4354251,19795
KALIMANTAN SELATAN,2015,2113132,1870000,2928007,13559
KALIMANTAN SELATAN,2016,2303635,2085050,3186294,14007
KALIMANTAN SELATAN,2017,2470119,2258000,3530786,15507
KALIMANTAN SELATAN,2018,2592194,2454671,3713303,15735
KALIMANTAN SELATAN,2019,2803778,2651782,3776704,16517
KALIMANTAN SELATAN,2020,2999517,2877449,4033066,18863
KALIMANTAN SELATAN,2021,3137141,2399698,4167736,18874
KALIMANTAN SELATAN,2022,3400540,2906473,4232175,18661
KALIMANTAN TIMUR,2015,2887967,2026126,3494460,16323
KALIMANTAN TIMUR,2016,3098697,2161253,3783668,18514
KALIMANTAN TIMUR,2017,3317859,2354800,4163186,21864
KALIMANTAN TIMUR,2018,3510388,2543332,4510847,21303
KALIMANTAN TIMUR,2019,3730919,2747561,4693078,21691
KALIMANTAN TIMUR,2020,3981982,2981379,5076736,24097
KALIMANTAN TIMUR,2021,4161514,2903144,4967092,23943
KALIMANTAN TIMUR,2022,4477750,3014497,5210878,22281
KALIMANTAN UTARA,2015,2899233,2026126,3102947,16608
KALIMANTAN UTARA,2016,3125878,2175340,3429370,17547
KALIMANTAN UTARA,2017,3380877,2358800,3835796,20392
KALIMANTAN UTARA,2018,3601931,2559903,4196213,18931
KALIMANTAN UTARA,2019,3931639,2765463,4293770,20639
KALIMANTAN UTARA,2020,4096315,3000804,4557716,26002
KALIMANTAN UTARA,2021,4292989,2981378,4565540,22972
KALIMANTAN UTARA,2022,4685159,3016738,4639824,20320
SULAWESI UTARA,2015,1805912,2150000,2487018,12761
SULAWESI UTARA,2016,1907145,2400000,2896482,16046
SULAWESI UTARA,2017,2008157,2598000,3343034,17112
SULAWESI UTARA,2018,2103366,2824286,3482811,16954
SULAWESI UTARA,2019,2252488,3051076,3438306,18350
SULAWESI UTARA,2020,2366484,3310723,3618693,21390
SULAWESI UTARA,2021,2484405,3310723,3610243,20963
SULAWESI UTARA,2022,2642153,3310723,3687158,18335
SULAWESI TENGAH,2015,2117165,1500000,2481830,12365
SULAWESI TENGAH,2016,2295966,1670000,2749044,13238
SULAWESI TENGAH,2017,2431202,1807775,3003694,13770
SULAWESI TENGAH,2018,2533677,1965232,3019098,13462
SULAWESI TENGAH,2019,2740249,2123040,3143113,14682
SULAWESI TENGAH,2020,2887385,2303711,3281159,18140
SULAWESI TENGAH,2021,3017822,2303711,3305349,20637
SULAWESI TENGAH,2022,3269672,2390739,3383777,15890
SULAWESI SELATAN,2015,1541247,2000000,2347416,12560
SULAWESI SELATAN,2016,1645409,2250000,2703761,14827
SULAWESI SELATAN,2017,1740519,2435625,2897523,15841
SULAWESI SELATAN,2018,1870723,2647767,3131484,15777
SULAWESI SELATAN,2019,2018488,2860382,3130148,17105
SULAWESI SELATAN,2020,2141653,3103800,3235940,19172
SULAWESI SELATAN,2021,2277296,3165876,3361358,19217
SULAWESI SELATAN,2022,2474223,3165876,3468230,17257
SULAWESI TENGGARA,2015,1596009,1652000,2158698,13661
SULAWESI TENGGARA,2016,1692501,1850000,2586431,23444
SULAWESI TENGGARA,2017,1767555,2002625,2710036,16604
SULAWESI TENGGARA,2018,1866158,2177052,3017719,15944
SULAWESI TENGGARA,2019,2028242,2351870,3165307,15849
SULAWESI TENGGARA,2020,2185017,2552015,3211820,20449
SULAWESI TENGGARA,2021,2333517,2552014,3349510,19302
SULAWESI TENGGARA,2022,2524641,2710596,3461537,17542
GORONTALO,2015,1615492,1600000,2131155,10030
GORONTALO,2016,1712854,1875000,2433940,13088
GORONTALO,2017,1815269,2030000,2826923,12784
GORONTALO,2018,1924849,2206813,2793420,11891
GORONTALO,2019,2058790,2384020,3081683,13492
GORONTALO,2020,2231496,2788826,3279194,15128
GORONTALO,2021,2368925,4416186,3492052,14613
GORONTALO,2022,2539055,2800580,3492100,14289
SULAWESI BARAT,2015,1608149,1655500,1937658,14171
SULAWESI BARAT,2016,1718778,1864000,2178146,11730
SULAWESI BARAT,2017,1852309,2017780,2324874,12741
SULAWESI BARAT,2018,1932986,2193530,2628994,12144
SULAWESI BARAT,2019,2005393,2381000,2718698,13126
